frame,timestamp,player_id,shot_type,side,confidence,source,contact_x,contact_y,out_dx,out_dy,direction
9,0.36,2,Backhand,non-dominant,low,pose,,,,,unknown
11,0.44,6,Forehand,dominant,med,pose,,,,,unknown
13,0.52,1,Backhand,non-dominant,low,pose,,,,,unknown
14,0.56,4,Backhand,non-dominant,med,pose,,,,,unknown
12,0.48,2,Backhand,non-dominant,med,contact,1257.1,640.3,0.981,-0.194,cross-right
33,1.32,4,Backhand,non-dominant,med,pose,,,,,unknown
53,2.12,4,Backhand,non-dominant,low,pose,,,,,unknown
65,2.6,8,Backhand,non-dominant,low,pose,,,,,unknown
77,3.08,4,Backhand,non-dominant,med,pose,,,,,unknown
78,3.12,1,Forehand,dominant,med,pose,,,,,unknown
88,3.52,2,Forehand,dominant,low,pose,,,,,unknown
103,4.12,4,Backhand,non-dominant,low,pose,,,,,unknown
114,4.56,2,Forehand,dominant,med,pose,,,,,unknown
121,4.84,4,Backhand,non-dominant,low,pose,,,,,unknown
152,6.08,1,Backhand,non-dominant,low,pose,,,,,unknown
170,6.8,1,Backhand,non-dominant,low,pose,,,,,unknown
177,7.08,92,Backhand,non-dominant,med,pose,,,,,unknown
186,7.44,92,Forehand,dominant,low,contact,1243.4,235.5,0.923,-0.384,cross-right
190,7.6,1,Backhand,non-dominant,low,pose,,,,,unknown
194,7.76,95,Forehand,dominant,med,pose,,,,,unknown
199,7.96,92,Backhand,non-dominant,low,pose,,,,,unknown
208,8.32,1,Backhand,non-dominant,med,pose,,,,,unknown
212,8.48,95,Forehand,dominant,low,pose,,,,,unknown
223,8.92,2,Forehand,dominant,med,pose,,,,,unknown
226,9.04,1,Backhand,non-dominant,med,pose,,,,,unknown
239,9.56,95,Forehand,dominant,med,pose,,,,,unknown
243,9.72,2,Forehand,dominant,low,pose,,,,,unknown
247,9.88,1,Backhand,non-dominant,med,pose,,,,,unknown
261,10.44,95,Forehand,dominant,med,pose,,,,,unknown
262,10.48,92,Backhand,non-dominant,med,pose,,,,,unknown
270,10.8,92,Serve/Smash,overhead,low,contact,1104.9,195.9,-0.73,0.684,deep-left
278,11.12,2,Forehand,dominant,low,pose,,,,,unknown
286,11.44,92,Backhand,non-dominant,low,pose,,,,,unknown
287,11.48,1,Backhand,non-dominant,med,pose,,,,,unknown
290,11.6,95,Forehand,dominant,med,pose,,,,,unknown
301,12.04,2,Backhand,non-dominant,med,pose,,,,,unknown
306,12.24,1,Backhand,non-dominant,med,pose,,,,,unknown
311,12.44,95,Forehand,dominant,med,pose,,,,,unknown
324,12.96,1,Backhand,non-dominant,med,pose,,,,,unknown
325,13.0,2,Backhand,non-dominant,med,pose,,,,,unknown
329,13.16,95,Forehand,dominant,med,pose,,,,,unknown
343,13.72,1,Backhand,non-dominant,med,pose,,,,,unknown
347,13.88,92,Serve/Smash,overhead,low,pose,,,,,unknown
353,14.12,2,Backhand,non-dominant,med,pose,,,,,unknown
363,14.52,1,Forehand,dominant,low,contact,934.3,117.1,0.849,-0.529,cross-right
366,14.64,95,Forehand,dominant,med,pose,,,,,unknown
371,14.84,92,Forehand,dominant,med,pose,,,,,unknown
374,14.96,1,Backhand,non-dominant,low,pose,,,,,unknown
377,15.08,2,Backhand,non-dominant,med,pose,,,,,unknown
402,16.08,1,Backhand,non-dominant,low,pose,,,,,unknown
405,16.2,92,Backhand,non-dominant,low,pose,,,,,unknown
414,16.56,8,Forehand,dominant,low,pose,,,,,unknown
423,16.92,2,Forehand,dominant,med,pose,,,,,unknown
459,18.36,92,Backhand,non-dominant,med,pose,,,,,unknown
470,18.8,92,Backhand,non-dominant,med,contact,876.9,99.3,0.703,0.711,deep-right
479,19.16,363,Forehand,dominant,med,pose,,,,,unknown
499,19.96,1,Backhand,non-dominant,low,pose,,,,,unknown
500,20.0,92,Forehand,dominant,med,pose,,,,,unknown
518,20.72,363,Forehand,dominant,low,pose,,,,,unknown
542,21.68,363,Forehand,dominant,low,pose,,,,,unknown
543,21.72,92,Backhand,non-dominant,low,pose,,,,,unknown
555,22.2,1,Forehand,dominant,low,contact,922.5,179.0,0.304,-0.953,lob/up-court
556,22.24,92,Serve/Smash,overhead,low,contact,925.5,169.8,0.437,-0.9,lob/up-court
562,22.48,363,Forehand,dominant,med,pose,,,,,unknown
571,22.84,92,Backhand,non-dominant,low,pose,,,,,unknown
573,22.92,92,Forehand,dominant,low,contact,967.6,184.5,0.82,0.572,deep-right
587,23.48,363,Forehand,dominant,low,pose,,,,,unknown
593,23.72,92,Forehand,dominant,low,pose,,,,,unknown
607,24.28,1,Forehand,dominant,med,pose,,,,,unknown
615,24.6,92,Backhand,non-dominant,low,pose,,,,,unknown
615,24.6,1,Forehand,dominant,med,contact,1081.0,237.9,-0.822,-0.57,up-left
620,24.8,363,Forehand,dominant,med,pose,,,,,unknown
618,24.72,92,Forehand,dominant,med,contact,944.2,143.0,0.842,0.54,cross-right
625,25.0,1,Forehand,dominant,low,pose,,,,,unknown
641,25.64,92,Backhand,non-dominant,med,contact,922.8,120.7,-0.839,0.544,cross-left
649,25.96,363,Forehand,dominant,med,pose,,,,,unknown
650,26.0,431,Serve/Smash,overhead,med,pose,,,,,unknown
650,26.0,1,Forehand,dominant,low,contact,1062.8,273.8,-0.83,0.558,deep-left
668,26.72,92,Backhand,non-dominant,med,pose,,,,,unknown
673,26.92,363,Forehand,dominant,med,pose,,,,,unknown
692,27.68,363,Forehand,dominant,med,pose,,,,,unknown
695,27.8,431,Backhand,non-dominant,low,pose,,,,,unknown
699,27.96,92,Backhand,non-dominant,med,contact,908.7,113.0,-0.966,-0.257,cross-left
713,28.52,363,Forehand,dominant,med,pose,,,,,unknown
724,28.96,92,Backhand,non-dominant,low,pose,,,,,unknown
728,29.12,507,Serve/Smash,overhead,med,pose,,,,,unknown
736,29.44,363,Forehand,dominant,med,pose,,,,,unknown
744,29.76,431,Serve/Smash,overhead,med,contact,1457.1,627.1,-0.148,-0.989,lob/up-court
756,30.24,431,Backhand,non-dominant,low,pose,,,,,unknown
762,30.48,8,Backhand,non-dominant,med,pose,,,,,unknown
774,30.96,363,Forehand,dominant,med,pose,,,,,unknown
780,31.2,1,Backhand,non-dominant,low,pose,,,,,unknown
781,31.24,431,Forehand,dominant,med,pose,,,,,unknown
783,31.32,92,Forehand,dominant,low,pose,,,,,unknown
806,32.24,1,Backhand,non-dominant,low,pose,,,,,unknown
808,32.32,363,Backhand,non-dominant,med,pose,,,,,unknown
810,32.4,431,Forehand,dominant,med,pose,,,,,unknown
811,32.44,92,Backhand,non-dominant,low,pose,,,,,unknown
832,33.28,363,Forehand,dominant,low,pose,,,,,unknown
857,34.28,363,Forehand,dominant,med,pose,,,,,unknown
863,34.52,92,Backhand,non-dominant,low,pose,,,,,unknown
866,34.64,363,Serve/Smash,overhead,med,contact,795.1,294.5,0.819,-0.574,up-right
869,34.76,1,Backhand,non-dominant,med,pose,,,,,unknown
880,35.2,363,Forehand,dominant,med,pose,,,,,unknown
881,35.24,92,Serve/Smash,overhead,low,pose,,,,,unknown
899,35.96,363,Forehand,dominant,med,pose,,,,,unknown
914,36.56,431,Backhand,non-dominant,med,pose,,,,,unknown
933,37.32,1,Backhand,non-dominant,med,pose,,,,,unknown
934,37.36,92,Backhand,non-dominant,low,pose,,,,,unknown
937,37.48,363,Backhand,non-dominant,low,pose,,,,,unknown
952,38.08,1,Backhand,non-dominant,med,pose,,,,,unknown
956,38.24,363,Forehand,dominant,med,pose,,,,,unknown
970,38.8,92,Backhand,non-dominant,low,pose,,,,,unknown
972,38.88,363,Forehand,dominant,low,contact,580.6,652.3,0.71,-0.705,up-right
981,39.24,363,Serve/Smash,overhead,med,pose,,,,,unknown
992,39.68,92,Backhand,non-dominant,med,pose,,,,,unknown
1012,40.48,92,Backhand,non-dominant,med,pose,,,,,unknown
1013,40.52,431,Forehand,dominant,med,pose,,,,,unknown
1016,40.64,363,Forehand,dominant,low,pose,,,,,unknown
1029,41.16,1,Backhand,non-dominant,low,pose,,,,,unknown
1035,41.4,8,Backhand,non-dominant,med,pose,,,,,unknown
1036,41.44,92,Forehand,dominant,med,pose,,,,,unknown
1035,41.4,92,Backhand,non-dominant,low,contact,847.3,115.5,-0.998,-0.065,cross-left
1039,41.56,431,Forehand,dominant,low,pose,,,,,unknown
1042,41.68,363,Forehand,dominant,med,pose,,,,,unknown
1059,42.36,431,Backhand,non-dominant,low,pose,,,,,unknown
1068,42.72,92,Serve/Smash,overhead,med,pose,,,,,unknown
1077,43.08,431,Backhand,non-dominant,med,pose,,,,,unknown
1082,43.28,363,Forehand,dominant,med,pose,,,,,unknown
1102,44.08,431,Backhand,non-dominant,med,pose,,,,,unknown
1110,44.4,92,Forehand,dominant,med,pose,,,,,unknown
1126,45.04,92,Backhand,non-dominant,med,contact,911.1,91.2,-0.858,-0.514,cross-left
1130,45.2,92,Backhand,non-dominant,med,pose,,,,,unknown
1136,45.44,8,Backhand,non-dominant,med,pose,,,,,unknown
1138,45.52,431,Forehand,dominant,med,pose,,,,,unknown
1139,45.56,1,Backhand,non-dominant,low,pose,,,,,unknown
1148,45.92,92,Backhand,non-dominant,med,pose,,,,,unknown
1157,46.28,1,Backhand,non-dominant,low,pose,,,,,unknown
1163,46.52,834,Backhand,non-dominant,med,pose,,,,,unknown
1172,46.88,92,Backhand,non-dominant,med,pose,,,,,unknown
1196,47.84,1,Backhand,non-dominant,med,pose,,,,,unknown
1203,48.12,92,Backhand,non-dominant,med,contact,970.5,127.5,0.001,-1.0,lob/up-court
1207,48.28,92,Backhand,non-dominant,med,pose,,,,,unknown
1219,48.76,1,Forehand,dominant,med,pose,,,,,unknown
1248,49.92,864,Backhand,non-dominant,med,pose,,,,,unknown
1283,51.32,8,Serve/Smash,overhead,low,pose,,,,,unknown
1290,51.6,864,Backhand,non-dominant,med,pose,,,,,unknown
1292,51.68,1,Forehand,dominant,med,pose,,,,,unknown
1298,51.92,917,Forehand,dominant,med,pose,,,,,unknown
1301,52.04,851,Backhand,non-dominant,med,pose,,,,,unknown
1308,52.32,864,Backhand,non-dominant,med,pose,,,,,unknown
1318,52.72,917,Forehand,dominant,med,pose,,,,,unknown
1319,52.76,1,Backhand,non-dominant,low,pose,,,,,unknown
1337,53.48,917,Forehand,dominant,med,pose,,,,,unknown
1347,53.88,864,Backhand,non-dominant,med,pose,,,,,unknown
1357,54.28,917,Forehand,dominant,med,pose,,,,,unknown
1361,54.44,1,Backhand,non-dominant,low,pose,,,,,unknown
